train E000:   0% 0/156 [00:00<?, ?it/s.

train E000:  44% 69/156 [00:42<00:45,  1.92it/s, acc=0.2448, loss=5.0401]
train E000:  45% 70/156 [00:42<00:44,  1.91it/s, acc=0.2448, loss=5.0401.

train E000:  45% 70/156 [00:43<00:44,  1.91it/s, acc=0.2473, loss=5.0249]
train E000:  46% 71/156 [00:43<00:44,  1.92it/s, acc=0.2473, loss=5.0249.

train E000:  46% 71/156 [00:43<00:44,  1.92it/s, acc=0.2496, loss=5.0101]
train E000:  46% 72/156 [00:43<00:43,  1.93it/s, acc=0.2496, loss=5.0101.

train E000:  46% 72/156 [00:44<00:43,  1.93it/s, acc=0.2519, loss=4.9959]
train E000:  47% 73/156 [00:44<00:43,  1.93it/s, acc=0.2519, loss=4.9959.

train E000:  47% 73/156 [00:44<00:43,  1.93it/s, acc=0.2544, loss=4.9795]
train E000:  47% 74/156 [00:44<00:42,  1.95it/s, acc=0.2544, loss=4.9795.

train E000:  47% 74/156 [00:45<00:42,  1.95it/s, acc=0.2570, loss=4.9665]
train E000:  48% 75/156 [00:45<00:41,  1.96it/s, acc=0.2570, loss=4.9665.

train E000:  48% 75/156 [00:45<00:41,  1.96it/s, acc=0.2594, loss=4.9537]
train E000:  49% 76/156 [00:45<00:41,  1.91it/s, acc=0.2594, loss=4.9537.

train E000:  49% 76/156 [00:46<00:41,  1.91it/s, acc=0.2615, loss=4.9430]
train E000:  49% 77/156 [00:46<00:41,  1.90it/s, acc=0.2615, loss=4.9430.

train E000:  49% 77/156 [00:46<00:41,  1.90it/s, acc=0.2639, loss=4.9276]
train E000:  50% 78/156 [00:46<00:41,  1.89it/s, acc=0.2639, loss=4.9276.

train E000:  50% 78/156 [00:47<00:41,  1.89it/s, acc=0.2662, loss=4.9109]
train E000:  51% 79/156 [00:47<00:40,  1.89it/s, acc=0.2662, loss=4.9109.

train E000:  51% 79/156 [00:47<00:40,  1.89it/s, acc=0.2684, loss=4.8947]
train E000:  51% 80/156 [00:47<00:40,  1.89it/s, acc=0.2684, loss=4.8947.

train E000:  51% 80/156 [00:48<00:40,  1.89it/s, acc=0.2704, loss=4.8794]
train E000:  52% 81/156 [00:48<00:39,  1.89it/s, acc=0.2704, loss=4.8794.

train E000:  52% 81/156 [00:48<00:39,  1.89it/s, acc=0.2725, loss=4.8640]
train E000:  53% 82/156 [00:48<00:38,  1.91it/s, acc=0.2725, loss=4.8640.

train E000:  53% 82/156 [00:49<00:38,  1.91it/s, acc=0.2748, loss=4.8511]
train E000:  53% 83/156 [00:49<00:38,  1.90it/s, acc=0.2748, loss=4.8511.

train E000:  53% 83/156 [00:49<00:38,  1.90it/s, acc=0.2770, loss=4.8372]
train E000:  54% 84/156 [00:49<00:37,  1.91it/s, acc=0.2770, loss=4.8372.

train E000:  54% 84/156 [00:50<00:37,  1.91it/s, acc=0.2789, loss=4.8257]
train E000:  54% 85/156 [00:50<00:37,  1.90it/s, acc=0.2789, loss=4.8257.

train E000:  54% 85/156 [00:50<00:37,  1.90it/s, acc=0.2807, loss=4.8111]
train E000:  55% 86/156 [00:50<00:36,  1.91it/s, acc=0.2807, loss=4.8111.

train E000:  55% 86/156 [00:51<00:36,  1.91it/s, acc=0.2829, loss=4.7955]
train E000:  56% 87/156 [00:51<00:36,  1.91it/s, acc=0.2829, loss=4.7955.

train E000:  56% 87/156 [00:51<00:36,  1.91it/s, acc=0.2856, loss=4.7799]
train E000:  56% 88/156 [00:51<00:35,  1.92it/s, acc=0.2856, loss=4.7799.

train E000:  56% 88/156 [00:52<00:35,  1.92it/s, acc=0.2874, loss=4.7701]
train E000:  57% 89/156 [00:52<00:35,  1.91it/s, acc=0.2874, loss=4.7701.

train E000:  57% 89/156 [00:53<00:35,  1.91it/s, acc=0.2898, loss=4.7552]
train E000:  58% 90/156 [00:53<00:34,  1.93it/s, acc=0.2898, loss=4.7552.

train E000:  58% 90/156 [00:53<00:34,  1.93it/s, acc=0.2919, loss=4.7447]
train E000:  58% 91/156 [00:53<00:34,  1.88it/s, acc=0.2919, loss=4.7447.

train E000:  58% 91/156 [00:54<00:34,  1.88it/s, acc=0.2940, loss=4.7309]
train E000:  59% 92/156 [00:54<00:33,  1.89it/s, acc=0.2940, loss=4.7309.

train E000:  59% 92/156 [00:54<00:33,  1.89it/s, acc=0.2963, loss=4.7164]
train E000:  60% 93/156 [00:54<00:33,  1.87it/s, acc=0.2963, loss=4.7164.

train E000:  60% 93/156 [00:55<00:33,  1.87it/s, acc=0.2977, loss=4.7047]
train E000:  60% 94/156 [00:55<00:33,  1.87it/s, acc=0.2977, loss=4.7047.

train E000:  60% 94/156 [00:55<00:33,  1.87it/s, acc=0.2995, loss=4.6983]
train E000:  61% 95/156 [00:55<00:32,  1.87it/s, acc=0.2995, loss=4.6983.

train E000:  61% 95/156 [00:56<00:32,  1.87it/s, acc=0.3012, loss=4.6839]
train E000:  62% 96/156 [00:56<00:32,  1.87it/s, acc=0.3012, loss=4.6839.

train E000:  62% 96/156 [00:56<00:32,  1.87it/s, acc=0.3028, loss=4.6718]
train E000:  62% 97/156 [00:56<00:31,  1.88it/s, acc=0.3028, loss=4.6718.

train E000:  62% 97/156 [00:57<00:31,  1.88it/s, acc=0.3039, loss=4.6618]
train E000:  63% 98/156 [00:57<00:31,  1.86it/s, acc=0.3039, loss=4.6618.

train E000:  63% 98/156 [00:57<00:31,  1.86it/s, acc=0.3061, loss=4.6485]
train E000:  63% 99/156 [00:57<00:30,  1.86it/s, acc=0.3061, loss=4.6485.

train E000:  63% 99/156 [00:58<00:30,  1.86it/s, acc=0.3075, loss=4.6411]
train E000:  64% 100/156 [00:58<00:30,  1.85it/s, acc=0.3075, loss=4.6411.

train E000:  64% 100/156 [00:58<00:30,  1.85it/s, acc=0.3096, loss=4.6273]
train E000:  65% 101/156 [00:58<00:29,  1.85it/s, acc=0.3096, loss=4.6273.

